outcome,cohort,age_col,outcome_col,status,reason,overlap_min,overlap_max,n_total,n_age_window,n_used,model_type,beta_g,SE_beta_g,p_value_beta_g,r2_or_pseudo_r2,source_data
household_income,nlsy79,age_2000,household_income,computed,,36.0,40.0,9261,3295,2709,ols,29207.59591881989,1150.5208763185606,1.0339163139544742e-127,0.19371495345379375,data/processed/nlsy79_cfa_resid.csv
household_income,nlsy97,age_2019,household_income_2019,computed,,36.0,40.0,6992,4719,3720,ols,38531.36817490486,1655.212375429238,5.208926243579456e-112,0.12724499185432303,data/processed/nlsy97_cfa_resid.csv
household_income,nlsy79,age_2000,household_income,computed,,37.0,42.0,9261,4982,4088,ols,28212.122979995078,956.3978047080051,1.5125598770330474e-173,0.17715213915090366,data/processed/nlsy79_cfa_resid.csv
household_income,nlsy97,age_2021,household_income_2021,computed,,37.0,42.0,6992,5359,4844,ols,51350.55996079093,1836.7505167121844,1.405825354036578e-159,0.13901635144863722,data/processed/nlsy97_cfa_resid.csv
employment,nlsy79,age_2000,employment_2000,computed,,36.0,40.0,9261,3295,3290,logit,0.6621120176565383,0.06065590320774067,9.679690779584705e-28,0.041190627177451256,data/processed/nlsy79_cfa_resid.csv
employment,nlsy97,age_2019,employment_2019,computed,,36.0,40.0,6992,4719,4689,logit,0.6387351948206434,0.0469477807623771,3.728112287256202e-42,0.04175682404315939,data/processed/nlsy97_cfa_resid.csv
employment,nlsy79,age_2000,employment_2000,computed,,37.0,42.0,9261,4982,4972,logit,0.6686712693102435,0.048351543873702385,1.6950436137817241e-43,0.04389052883690414,data/processed/nlsy79_cfa_resid.csv
employment,nlsy97,age_2021,employment_2021,computed,,37.0,42.0,6992,5359,5324,logit,0.6647838289399558,0.04388548706012526,7.793251713209221e-52,0.044489026899597106,data/processed/nlsy97_cfa_resid.csv
annual_earnings,nlsy79,age_2000,annual_earnings,computed,,36.0,40.0,9261,3295,3115,ols,7369.505732557745,280.25395984633207,8.600602023963244e-138,0.18296534039330925,data/processed/nlsy79_cfa_resid.csv
annual_earnings,nlsy97,age_2019,annual_earnings_2019,computed,,36.0,40.0,6992,4719,3723,ols,22289.97207237479,1071.2569259403501,4.722436678418158e-91,0.10578684224080193,data/processed/nlsy97_cfa_resid.csv
annual_earnings,nlsy79,age_2000,annual_earnings,computed,,37.0,42.0,9261,4982,4697,ols,7594.0778356501805,237.55223858638726,4.610305157019085e-203,0.18264487900039506,data/processed/nlsy79_cfa_resid.csv
annual_earnings,nlsy97,age_2021,annual_earnings_2021,computed,,37.0,42.0,6992,5359,4237,ols,26488.412056593297,1155.6815447659353,1.077860204696772e-109,0.11038010173089796,data/processed/nlsy97_cfa_resid.csv
