cohort,outcome,ses_bin,status,reason,ses_col,ses_mode,n_total,n_used,corr_all,beta_g,SE_beta_g,p_value_beta_g,r2,source_data
nlsy79,earnings,high,computed,,parent_education,numeric_terciles,9261,1758,0.2982711128526754,7980.34189568248,609.4182026390517,1.8794047198731645e-37,0.08896565676237322,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,low,computed,,parent_education,numeric_terciles,9261,2626,0.34725273106139076,5713.807863486434,301.22784513652397,2.7119380093015016e-75,0.12058445922959482,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,mid,computed,,parent_education,numeric_terciles,9261,2779,0.3691378093453595,7385.262301061578,352.84200886783003,1.8961789252468261e-90,0.13626272228829106,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,high,computed,,parent_education,numeric_terciles,9261,1183,0.30413639311092483,34454.93777332271,3140.3763575607604,9.724334398166434e-27,0.0924989456145231,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,low,computed,,parent_education,numeric_terciles,9261,1627,0.38344403358349716,18925.543735983603,1130.8024697013534,3.9369998915405765e-58,0.14702932689078196,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,mid,computed,,parent_education,numeric_terciles,9261,1795,0.3649818578034236,24433.50485270092,1471.908632840514,1.1227245625585485e-57,0.13321175652563855,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,high,computed,,parent_education,numeric_terciles,9261,1150,0.2346348066665622,169243.03987225317,20694.314639555963,7.567843181179331e-16,0.055053492499454904,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,low,computed,,parent_education,numeric_terciles,9261,1717,0.25957351776445353,65186.75592410936,5856.250642256288,7.75330579959214e-28,0.06737841112461285,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,mid,computed,,parent_education,numeric_terciles,9261,1827,0.27744107996249456,110377.67526733961,8947.178763979056,1.21110101190832e-33,0.07697355285075524,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,high,computed,,parent_education,numeric_terciles,9261,2272,0.4269572746470166,1.6265334925893735,0.0723043874103712,2.462303189524648e-101,0.18229251437400829,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,low,computed,,parent_education,numeric_terciles,9261,3219,0.4649672119629244,1.4557021961345447,0.048868479765799264,2.0621705169981488e-172,0.21619450820057518,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,mid,computed,,parent_education,numeric_terciles,9261,3484,0.3833387188320182,1.1385503494544464,0.04648820497313136,2.3688528629372803e-122,0.14694857335577305,data/processed/nlsy79_cfa_resid.csv
nlsy97,earnings,,not_feasible,missing_outcome_column,parent_education,numeric_terciles,6992,0,,,,,,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,high,computed,,parent_education,numeric_terciles,6992,1096,0.18915161846108872,14903.647592260266,2339.17273307134,2.7554131322056604e-10,0.035778334766449094,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,low,computed,,parent_education,numeric_terciles,6992,2065,0.27141236972254656,19352.65737062312,1510.9339157009294,3.387097973561964e-36,0.07366467443840818,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,mid,computed,,parent_education,numeric_terciles,6992,1371,0.2568425879622246,18527.434059215528,1884.2015899277806,4.287478852966517e-22,0.06596811499113309,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,high,computed,,parent_education,numeric_terciles,6992,1092,0.162899207684897,31313.132666628382,5744.5261514685835,6.19416487930944e-08,0.02653615186436742,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,low,computed,,parent_education,numeric_terciles,6992,2105,0.14877259542764346,19596.758068129297,2840.4129691233074,6.891782711981869e-12,0.022133285150277127,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,mid,computed,,parent_education,numeric_terciles,6992,1413,0.12025683210900578,27834.85371681672,6117.196469654959,5.8179427674258895e-06,0.014461705668893599,data/processed/nlsy97_cfa_resid.csv
nlsy97,education,high,computed,,parent_education,numeric_terciles,6992,1445,0.39570840116810657,1.9404622016043371,0.11855431779990487,2.301513834967866e-55,0.15658513875501912,data/processed/nlsy97_cfa_resid.csv
nlsy97,education,low,computed,,parent_education,numeric_terciles,6992,2655,0.2729968238163164,1.8627710536791828,0.1274427327751337,1.3589948166890309e-46,0.07452726581379687,data/processed/nlsy97_cfa_resid.csv
nlsy97,education,mid,computed,,parent_education,numeric_terciles,6992,1869,0.29942202706495324,1.7461888516720672,0.12877710495140243,5.09512456692791e-40,0.08965355029168542,data/processed/nlsy97_cfa_resid.csv
cnlsy,earnings,,not_feasible,missing_outcome_column,parent_education,numeric_terciles,545,0,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,household_income,,not_feasible,missing_outcome_column,parent_education,numeric_terciles,545,0,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,net_worth,,not_feasible,missing_outcome_column,parent_education,numeric_terciles,545,0,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,education,high,computed,,parent_education,numeric_terciles,545,61,0.4993546982364725,1.5219827337844678,0.3437888951901094,4.1903556025678084e-05,0.24935511465083848,data/processed/cnlsy_cfa_resid.csv
cnlsy,education,low,computed,,parent_education,numeric_terciles,545,81,0.4441996603510593,1.3959598375628663,0.3167773920176206,3.266740924783961e-05,0.1973133382559964,data/processed/cnlsy_cfa_resid.csv
cnlsy,education,mid,not_feasible,insufficient_group_n,parent_education,numeric_terciles,545,40,,,,,,data/processed/cnlsy_cfa_resid.csv
