cohort,status,reason,outcome,model,n_total,n_used,n_job_zone_matched,age_col,beta_g,SE_beta_g,p_value_beta_g,beta_age,SE_beta_age,p_value_beta_age,beta_education_years,SE_beta_education_years,p_value_beta_education_years,beta_employment_2000,SE_beta_employment_2000,p_value_beta_employment_2000,beta_job_zone,SE_beta_job_zone,p_value_beta_job_zone,r2,mean_outcome,source_data,census_source,job_zones_source
nlsy79,computed,,log_annual_earnings,baseline,9261,5475,3113,age_2000,1.2559448693918767,0.059708087219242915,1.5948200700440944e-94,0.017460216389163452,0.028112640575458342,0.5345724457558901,,,,,,,,,,0.07509790607489297,7.820520684755677,data/processed/nlsy79_cfa_resid.csv,https://www.census.gov/content/dam/Census/about/about-the-bureau/adrm/data-linkage/HUDMetadata/HUD-MTO/IndustryOccupationCodes/2002%20Census%20Occupation%20Codes.pdf,https://www.onetcenter.org/dl_files/database/db_30_2_text/Job%20Zones.txt
nlsy79,computed,,log_annual_earnings,plus_education_years,9261,5475,3113,age_2000,1.1794914319125254,0.07168667967647928,2.0779466519660396e-59,0.015066386650141612,0.028133150865150783,0.5922992805069826,0.04451614447798593,0.023112969716000804,0.054153078356126746,,,,,,,0.075724604009751,7.820520684755677,data/processed/nlsy79_cfa_resid.csv,https://www.census.gov/content/dam/Census/about/about-the-bureau/adrm/data-linkage/HUDMetadata/HUD-MTO/IndustryOccupationCodes/2002%20Census%20Occupation%20Codes.pdf,https://www.onetcenter.org/dl_files/database/db_30_2_text/Job%20Zones.txt
nlsy79,computed,,log_annual_earnings,plus_employment_2000,9261,5464,3113,age_2000,1.045306926052899,0.05899543980932204,2.4003720986885585e-68,0.011497845250025148,0.02727645287733958,0.6733846479945961,,,,2.384355333054822,0.12776588006629483,2.1475859044284493e-75,,,,0.13036920317364276,7.824514138886486,data/processed/nlsy79_cfa_resid.csv,https://www.census.gov/content/dam/Census/about/about-the-bureau/adrm/data-linkage/HUDMetadata/HUD-MTO/IndustryOccupationCodes/2002%20Census%20Occupation%20Codes.pdf,https://www.onetcenter.org/dl_files/database/db_30_2_text/Job%20Zones.txt
nlsy79,computed,,log_annual_earnings,plus_job_zone,9261,2940,3113,age_2000,0.9659261943299547,0.08150042244555832,1.098514974334018e-31,0.005772649235149805,0.03584322999346412,0.8720629684318637,,,,,,,-0.07541192509685773,0.06276790277610249,0.2296771274233695,0.04700283758510215,8.218710095081665,data/processed/nlsy79_cfa_resid.csv,https://www.census.gov/content/dam/Census/about/about-the-bureau/adrm/data-linkage/HUDMetadata/HUD-MTO/IndustryOccupationCodes/2002%20Census%20Occupation%20Codes.pdf,https://www.onetcenter.org/dl_files/database/db_30_2_text/Job%20Zones.txt
nlsy79,computed,,log_annual_earnings,plus_all_mediators,9261,2936,3113,age_2000,0.875807496870647,0.09249044491723171,5.608800005017569e-21,-7.342452658752395e-05,0.03561840078342507,0.9983553653473834,0.02105531946257526,0.030234690180714372,0.4862360619792318,1.4560425924783837,0.2185336934077816,3.197294569341363e-11,-0.08788680461164909,0.06485846682275934,0.1755044201851236,0.06153850527827476,8.21967859596996,data/processed/nlsy79_cfa_resid.csv,https://www.census.gov/content/dam/Census/about/about-the-bureau/adrm/data-linkage/HUDMetadata/HUD-MTO/IndustryOccupationCodes/2002%20Census%20Occupation%20Codes.pdf,https://www.onetcenter.org/dl_files/database/db_30_2_text/Job%20Zones.txt
nlsy79,computed,,log_household_income,baseline,9261,4736,3113,age_2000,0.8862495281421311,0.033300934057755624,1.5212912527813377e-145,0.06553884717589878,0.015524122533899643,2.469673823344329e-05,,,,,,,,,,0.1309059596797234,10.260816556324926,data/processed/nlsy79_cfa_resid.csv,https://www.census.gov/content/dam/Census/about/about-the-bureau/adrm/data-linkage/HUDMetadata/HUD-MTO/IndustryOccupationCodes/2002%20Census%20Occupation%20Codes.pdf,https://www.onetcenter.org/dl_files/database/db_30_2_text/Job%20Zones.txt
nlsy79,computed,,log_household_income,plus_education_years,9261,4736,3113,age_2000,0.7172632258785077,0.0397081452502437,1.3873976716424556e-70,0.05873974578564828,0.015454558968913287,0.00014604073218171018,0.0975456271945127,0.012663619438613494,1.6104381743407108e-14,,,,,,,0.14166838822179806,10.260816556324926,data/processed/nlsy79_cfa_resid.csv,https://www.census.gov/content/dam/Census/about/about-the-bureau/adrm/data-linkage/HUDMetadata/HUD-MTO/IndustryOccupationCodes/2002%20Census%20Occupation%20Codes.pdf,https://www.onetcenter.org/dl_files/database/db_30_2_text/Job%20Zones.txt
nlsy79,computed,,log_household_income,plus_employment_2000,9261,4725,3113,age_2000,0.7533241531525888,0.03256135676262908,2.8918133012166517e-112,0.061978495816007714,0.014886263250637213,3.190364043361029e-05,,,,1.4669156518593105,0.0704479610709169,3.354621315489472e-92,,,,0.20415037626956622,10.262065243790737,data/processed/nlsy79_cfa_resid.csv,https://www.census.gov/content/dam/Census/about/about-the-bureau/adrm/data-linkage/HUDMetadata/HUD-MTO/IndustryOccupationCodes/2002%20Census%20Occupation%20Codes.pdf,https://www.onetcenter.org/dl_files/database/db_30_2_text/Job%20Zones.txt
nlsy79,computed,,log_household_income,plus_job_zone,9261,2540,3113,age_2000,0.5363501438139354,0.034975214583364535,7.918151038616564e-51,0.04551455016892971,0.015097357939676674,0.0025975204128818796,,,,,,,0.12576427390707026,0.026635250605258953,2.465883333548064e-06,0.11266240732520616,10.495591521190823,data/processed/nlsy79_cfa_resid.csv,https://www.census.gov/content/dam/Census/about/about-the-bureau/adrm/data-linkage/HUDMetadata/HUD-MTO/IndustryOccupationCodes/2002%20Census%20Occupation%20Codes.pdf,https://www.onetcenter.org/dl_files/database/db_30_2_text/Job%20Zones.txt
nlsy79,computed,,log_household_income,plus_all_mediators,9261,2534,3113,age_2000,0.4117509368538018,0.039175742214197194,2.5545738810307576e-25,0.042092284161835476,0.014838626807403573,0.00459497514501453,0.06125021258097096,0.012533460462516091,1.0882463786976419e-06,0.7782923579068358,0.09315107862026252,1.0631609467111137e-16,0.08992472434935583,0.027175516389709452,0.0009493131338841157,0.14576538475894607,10.497124662566575,data/processed/nlsy79_cfa_resid.csv,https://www.census.gov/content/dam/Census/about/about-the-bureau/adrm/data-linkage/HUDMetadata/HUD-MTO/IndustryOccupationCodes/2002%20Census%20Occupation%20Codes.pdf,https://www.onetcenter.org/dl_files/database/db_30_2_text/Job%20Zones.txt
