cohort,model_step,status,reason,cfi,tli,rmsea,srmr,chisq_scaled,df,aic,bic,delta_cfi,delta_rmsea,delta_srmr,group_col,reference_group,n_total,n_nonmissing_group,n_groups,group_levels,group_counts,smallest_group_n,min_group_n,source_data,fit_dir
nlsy79,configural,computed,,0.92456706343522,0.890500575954351,0.134436134232561,0.0602524594065035,5196.88944281423,93,1464154.99207218,1464882.61593812,,,,race_ethnicity_3cat,"NON-BLACK, NON-HISPANIC",9261,9261,3,"NON-BLACK, NON-HISPANIC,BLACK,HISPANIC","NON-BLACK, NON-HISPANIC:5555;BLACK:2345;HISPANIC:1361",1361,50,data/processed/nlsy79_cfa_resid.csv,outputs/model_fits/race_invariance/nlsy79
nlsy79,metric,computed,,0.912345416803285,0.893393074490482,0.132648641805342,0.0895154987120492,4594.40772886132,111,1464977.65194379,1465576.8715981,-0.012221646631935035,-0.0017874924272190118,0.029263039305545697,race_ethnicity_3cat,"NON-BLACK, NON-HISPANIC",9261,9261,3,"NON-BLACK, NON-HISPANIC,BLACK,HISPANIC","NON-BLACK, NON-HISPANIC:5555;BLACK:2345;HISPANIC:1361",1361,50,data/processed/nlsy79_cfa_resid.csv,outputs/model_fits/race_invariance/nlsy79
nlsy79,scalar,computed,,0.90700888172065,0.896249578779238,0.130859432493767,0.0945490002663178,4902.88424269087,121,1465334.72284942,1465862.60683059,-0.0053365350826349855,-0.0017892093115750018,0.005033501554268599,race_ethnicity_3cat,"NON-BLACK, NON-HISPANIC",9261,9261,3,"NON-BLACK, NON-HISPANIC,BLACK,HISPANIC","NON-BLACK, NON-HISPANIC:5555;BLACK:2345;HISPANIC:1361",1361,50,data/processed/nlsy79_cfa_resid.csv,outputs/model_fits/race_invariance/nlsy79
nlsy97,configural,computed,,0.923424947067997,0.888842665098706,0.129266910121529,0.0552296383008452,3502.91459013713,93,143589.790691115,144288.747926684,,,,race_ethnicity_3cat,"NON-BLACK, NON-HISPANIC",6992,6992,3,"NON-BLACK, NON-HISPANIC,BLACK,HISPANIC","NON-BLACK, NON-HISPANIC:3862;BLACK:1784;HISPANIC:1346",1346,50,data/processed/nlsy97_cfa_resid.csv,outputs/model_fits/race_invariance/nlsy97
nlsy97,metric,computed,,0.922708240634471,0.905996508879762,0.118874936114417,0.0580512261595641,3552.38558564043,111,143605.690078245,144181.301919301,-0.0007167064335260598,-0.01039197400711199,0.002821587858718902,race_ethnicity_3cat,"NON-BLACK, NON-HISPANIC",6992,6992,3,"NON-BLACK, NON-HISPANIC,BLACK,HISPANIC","NON-BLACK, NON-HISPANIC:3862;BLACK:1784;HISPANIC:1346",1346,50,data/processed/nlsy97_cfa_resid.csv,outputs/model_fits/race_invariance/nlsy97
nlsy97,scalar,computed,,0.913531245455237,0.903526596169066,0.120426511529478,0.0696267616246171,3917.40784672837,121,144029.75135873,144536.837980612,-0.009176995179233982,0.001551575415060999,0.011575535465053001,race_ethnicity_3cat,"NON-BLACK, NON-HISPANIC",6992,6992,3,"NON-BLACK, NON-HISPANIC,BLACK,HISPANIC","NON-BLACK, NON-HISPANIC:3862;BLACK:1784;HISPANIC:1346",1346,50,data/processed/nlsy97_cfa_resid.csv,outputs/model_fits/race_invariance/nlsy97
cnlsy,configural,computed,,0.992775675676578,0.985551351353157,0.0447440896628099,0.0383146049121728,24.0400109708725,15,16157.3265053407,16350.8618661005,,,,race_ethnicity_3cat,"NON-BLACK, NON-HISPANIC",545,545,3,"NON-BLACK, NON-HISPANIC,BLACK,HISPANIC","NON-BLACK, NON-HISPANIC:298;BLACK:129;HISPANIC:118",118,50,data/processed/cnlsy_cfa_resid.csv,outputs/model_fits/race_invariance/cnlsy
cnlsy,metric,computed,,1.0,1.00004257610284,0.0,0.0446694554100668,25.761655668177,23,16143.8463141066,16302.9753885092,0.007224324323422016,-0.0447440896628099,0.006354850497893999,race_ethnicity_3cat,"NON-BLACK, NON-HISPANIC",545,545,3,"NON-BLACK, NON-HISPANIC,BLACK,HISPANIC","NON-BLACK, NON-HISPANIC:298;BLACK:129;HISPANIC:118",118,50,data/processed/cnlsy_cfa_resid.csv,outputs/model_fits/race_invariance/cnlsy
cnlsy,scalar,computed,,0.994889331581133,0.99505419185271,0.0261782550280031,0.0542002576978831,37.4703163605345,31,16139.7303508932,16264.4531389384,-0.0051106684188669815,0.0261782550280031,0.009530802287816303,race_ethnicity_3cat,"NON-BLACK, NON-HISPANIC",545,545,3,"NON-BLACK, NON-HISPANIC,BLACK,HISPANIC","NON-BLACK, NON-HISPANIC:298;BLACK:129;HISPANIC:118",118,50,data/processed/cnlsy_cfa_resid.csv,outputs/model_fits/race_invariance/cnlsy
