cohort,race_group,status,reason,g_construct,n_total,n_male,n_female,mean_all,var_all,mean_male,mean_female,var_male,var_female,d_g,d_g_proxy,SE_d_g,ci_low_d_g,ci_high_d_g,source_data
nlsy79,BLACK,computed,,g_proxy,2345,1169,1176,-0.5664803575629056,0.41745547250371673,-0.5261891669166026,-0.6065317196934569,0.49120328849370276,0.34128171920457434,0.12452954866323392,0.12452954866323392,0.041341038666364446,0.0435011128771596,0.20555798444930823,data/processed/nlsy79_cfa_resid.csv
nlsy79,HISPANIC,computed,,g_proxy,1361,661,700,-0.36997991396292895,0.638855398730755,-0.24300608790662567,-0.48987948399609543,0.7004291386977448,0.5519886994315977,0.3119713174391685,0.3119713174391685,0.05456407900383251,0.2050257225916568,0.4189169122866802,data/processed/nlsy79_cfa_resid.csv
nlsy79,"NON-BLACK, NON-HISPANIC",computed,,g_proxy,5555,2757,2798,0.329782016451586,0.4847410657486315,0.4587827741186322,0.20267154865743064,0.5405163752948813,0.3973905928489727,0.3739932214741641,0.3739932214741641,0.027068531775246867,0.3209388991946802,0.42704754375364795,data/processed/nlsy79_cfa_resid.csv
nlsy97,BLACK,computed,,g_proxy,1784,864,920,-0.4946282926687711,0.5021160969052909,-0.5524556313904248,-0.4403208789127834,0.5304009192279089,0.4700048302080066,-0.15855032517688541,-0.15855032517688541,0.04744910218038921,-0.2515505654504483,-0.06555008490332256,data/processed/nlsy97_cfa_resid.csv
nlsy97,HISPANIC,computed,,g_proxy,1346,682,664,-0.28163480465252944,0.4717002341479987,-0.26127143248456497,-0.30255019594552907,0.5092896157669964,0.43293712603688594,0.060140074810284244,0.060140074810284244,0.05453114066809057,-0.04674096089917326,0.16702111051974175,data/processed/nlsy97_cfa_resid.csv
nlsy97,"NON-BLACK, NON-HISPANIC",computed,,g_proxy,3862,1987,1875,0.32664353215520253,0.4980038257771845,0.37303005482168333,0.2774861878681106,0.5724198572908533,0.4147068594272441,0.1359976359900385,0.1359976359900385,0.03223352863363962,0.07281991986810485,0.19917535211197215,data/processed/nlsy97_cfa_resid.csv
cnlsy,BLACK,computed,,g_proxy,43,20,23,-0.31767661301916594,0.6573001166940405,-0.11441492366994695,-0.49442590810544335,0.7992580065401442,0.4943576947061176,0.4725072853618391,0.4725072853618391,0.31016283146870993,-0.13541186431683233,1.0804264350405106,data/processed/cnlsy_cfa_resid.csv
cnlsy,HISPANIC,computed,,g_proxy,31,11,20,-0.1125116009559758,0.4785443616921825,-0.006061746925646993,-0.1710590206726567,0.6240630461580058,0.416973531390628,0.22869610694049827,0.22869610694049827,0.3765778113039856,-0.5093964032153135,0.96678861709631,data/processed/cnlsy_cfa_resid.csv
cnlsy,"NON-BLACK, NON-HISPANIC",computed,,g_proxy,109,57,52,0.27194548797016654,0.4585154205981657,0.3891578977811662,0.14346265413887827,0.5247524041409679,0.3625885194565125,0.36886418670551163,0.36886418670551163,0.1934177524317545,-0.01023460806072718,0.7479629814717504,data/processed/cnlsy_cfa_resid.csv
